gencoarc,www.gencoarc.com/BusinessServices/GeneseeDataManagement.aspx,data management business services,TRUE
data-mgt,https://www.data-mgt.com/,data management business services,TRUE
wikipedia,https://en.wikipedia.org/wiki/Data_management,data management business services,FALSE
onexcompany,www.onexcompany.com/ict-solutions-2/data-management/,data management business services,TRUE
ssonetwork,www.ssonetwork.com/data-management-analytics,data management business services,TRUE
williamsdatamanagement,williamsdatamanagement.com/,data management business services,TRUE
techtarget,searchdatamanagement.techtarget.com/definition/data-management,data management business services,FALSE
techmahindra,www.techmahindra.com/services/.../data_management_services/default.aspx,data management business services,TRUE
ivision,https://ivision.com/services/technology/analytics-data-management/,data management business services,TRUE
usc,https://businessservices.usc.edu/for-suppliers/status/,data management business services,FALSE
hpe,https://www.hpe.com/us/en/services/consulting/big-data.html,data management business services,TRUE
thinkartha,www.thinkartha.com/services,data management business services,TRUE
akimeka,www.akimeka.com/infrastructure-and-data-management.html,data management business services,TRUE
bloomberg,https://www.bloomberg.com/enterprise/financial-data-management/,data management business services,FALSE
acrocorp,https://www.acrocorp.com/index.php/business-services,data management business services,FALSE
enterprisemanagement,https://www.enterprisemanagement.com/coverage/,data management business services,FALSE
infinitdatum,www.infinitdatum.com/back-office-data-management-services/,data management business services,FALSE
eagleinvsys,www.eagleinvsys.com/solutions/data-management.cfm,data management business services,FALSE
entrepreneur,https://www.entrepreneur.com/article/281058,data management business services,FALSE
asu,https://cfo.asu.edu/datamanagement,data management business services,FALSE
eyc3,eyc3.com/company/management,data management business services,TRUE
sapns2,https://www.sapns2.com/solutions/data-management/,data management business services,TRUE
lionbridge,www.lionbridge.com/solutions/data-management-services/,data management business services,TRUE
accelbi,www.accelbi.com/high-value-services/data-management-services/,data management business services,TRUE
acm,https://techpack.acm.org/bi/,data management business services,FALSE
hbr,https://hbr.org/2012/10/big-data-the-management-revolution,data management business services,FALSE
edq,https://www.edq.com/,data management business services,TRUE
telegenisys,https://www.telegenisys.com/insights/telemarketing-services.html,data management business services,TRUE
sitehawk,www.sitehawk.com/,data management business services,TRUE
csra,https://www.csra.com/solutions,data management business services,TRUE
cgg,www.cgg.com/en/What-We-Do/Data-Management,data management business services,TRUE
bsmreview,www.bsmreview.com/,data management business services,FALSE
jhu,https://dmp.data.jhu.edu/,data management business services,FALSE
cognizioni,www.cognizioni.com/about-us.html,data management business services,TRUE
scalabilityexperts,www.scalabilityexperts.com/,data management business services,TRUE
synovos,synovos.com/services/asset-services/master-data-leadership/,data management business services,TRUE
livingstonintl,livingstonintl.com/services/...management/global-product-data-management/,data management business services,TRUE
essextec,https://essextec.com/,data management business services,TRUE
we-energies,https://www.we-energies.com/business/elec/aes6_meter_dmsa.pdf,data management business services,FALSE
ephesoft,www.ephesoft.com/ephesoft-partners-with-incedo-to-offer-innovative-data- management-solutions-in-life-science-financial-services-and-commu...,data management business services,TRUE
fgmk,www.fgmk.com/industries/business-services/,data management business services,FALSE
qssinc,www.qssinc.com/practices/dm/,data management business services,TRUE
forrester,https://www.forrester.com/Master-Data-Management,data management business services,FALSE
martinfowler,www.martinfowler.com/articles/microservices.html,data management business services,FALSE
martinfowler,www.martinfowler.com/articles/microservices.html,data management business services,FALSE
s1services,www.s1services.com/services_5.html,data management business services,FALSE
harvard,huit.harvard.edu/data-management-services,data management business services,FALSE
bravamedical,www.bravamedical.com/,data management business services,FALSE
