abiquo,www.abiquo.com/,cloud management
aimetis,www.aimetis.com/EnterpriseManager/,cloud management
angel,https://angel.co/cloud-management,cloud management
arubanetworks,www.arubanetworks.com/en-au/products/.../management/central/,cloud management
azurewebsites,https://measurecloud.azurewebsites.net/,cloud management
backup,https://backup.management/,cloud management
checkpoint,www.checkpoint.com/products/cloud-managed-security-services/,cloud management
cirba,www.cirba.com/solutions/Cirba-solutions-by-user-role.htm,cloud management
cloudclientmanager,https://www.cloudclientmanager.com/,cloud management
cloudm-p,www.cloudm-p.com/,cloud management
cloudmanagementsuite,www.cloudmanagementsuite.com/frequently-asked-questions/,cloud management
cloudmgr,https://www.cloudmgr.com/,cloud management
cyberoam,https://www.cyberoam.com/ccms_partners.html,cloud management
datapipe,https://www.datapipe.com/cloud/cloud_management_portal/,cloud management
dmtf,https://www.dmtf.org/standards/cmwg,cloud management
extremenetworks,www.extremenetworks.com/solutions/cloud-managed-solution/,cloud management
gartner,www.gartner.com/webinar/3338020,cloud management
ghostery,https://www.ghostery.com/our-solutions/,cloud management
ghosteryenterprise,https://www.ghosteryenterprise.com/marketing-cloud-management/,cloud management
greenpages,greenpages.com/cloud-services/cloud-management/,cloud management
heatsoftware,https://heatsoftware.com/platform/solutions/,cloud management
hotlink,www.hotlink.com/technology/cme.html,cloud management
hpe,https://www.hpe.com/us/en/software.html,cloud management
iaso,https://www.iaso.com/cloud-management-console,cloud management
iland,www.iland.com/services/enterprise-cloud-services-console/,cloud management
immedion,www.immedion.com/cloud-services/cloud-management-platform,cloud management
kumolus,https://kumolus.com/,cloud management
mongodb,https://www.mongodb.com/cloud/cloud-manager,cloud management
morpheusdata,https://www.morpheusdata.com/,cloud management
netgear,https://www.netgear.com/...management/business-central.aspx,cloud management
openstack,docs.openstack.org/ops-guide/arch-cloud-controller.html,cloud management
pakedge,https://www.pakedge.com/products/cloud-technology/,cloud management
peplink,www.peplink.com/products/incontrol-2/,cloud management
puppet,https://puppet.com/solutions/cloud-management,cloud management
quest,https://www.quest.com/solutions/cloud-management/,cloud management
scalr,www.scalr.com/product.html,cloud management
skykick,https://www.skykick.com/manage,cloud management
staplesrecordsandcloudmgmt,https://www.staplesrecordsandcloudmgmt.com/,cloud management
symanteccloud,https://manage.symanteccloud.com/,cloud management
tanaza,https://cloud.tanaza.com/,cloud management
turbonomic,https://turbonomic.com/solutions/.../hybrid-cloud-management/,cloud management
virtustream,www.virtustream.com/software,cloud management
vistarait,https://www.vistarait.com/solutions/cloud/,cloud management
webopedia,www.webopedia.com/TERM/C/cloud_management.html,cloud management
3i-intl,www.3i-intl.com/services/cloud-services/,data cloud management company service
actifio,www.actifio.com/,data cloud management company service
airnetgroup,www.airnetgroup.com/services.html,data cloud management company service
aptuz,www.aptuz.com/services/,data cloud management company service
ardham,www.ardham.com/cloud-services/management/,data cloud management company service
atlassystems,www.atlassystems.com/cloud-application-migration/,data cloud management company service
bcntele,www.bcntele.com/service/cloud-managed-solutions/,data cloud management company service
broadaspect,www.broadaspect.com/cloud-services/,data cloud management company service
bruns-pak,bruns-pak.com/services/data-center-cloud-services/,data cloud management company service
c7,https://www.c7.com/cloud/private-cloud-suite/,data cloud management company service
